node,closeness,dist_to_best,dist_to_worst,rank
100,0.9513280486097389,0.0018848293485215209,0.03684033565274574,1
81,0.9315688137533286,0.0027374914712988523,0.037266074467644836,2
60,0.8488673147531157,0.005914653864878178,0.033220850511400404,3
62,0.7774773780246522,0.008975394239311254,0.03135935536787968,4
4,0.7670146428824504,0.009119078114694947,0.03002105595859808,5
82,0.7409378575212918,0.010204269047071855,0.02918500238192719,6
111,0.699760817339742,0.0117757981571186,0.02744559211173166,7
40,0.6947739386386174,0.012079160620144256,0.02749531269405524,8
64,0.6690154762434058,0.012847374054820568,0.025968259706558926,9
31,0.6562398685748551,0.01332685462101956,0.025441034388592174,10
42,0.6528475499266195,0.013852877300505837,0.026051427847211376,11
84,0.6409333936612552,0.013875835314854767,0.024768346766962823,12
103,0.6159590289891554,0.015017929510780448,0.02408708960020491,13
8,0.597966859440743,0.015607271218920592,0.023213586179078382,14
47,0.5819552987441667,0.016197056953392883,0.02254773972680872,15
15,0.5649043225783427,0.016875644650330163,0.021910409833901676,16
57,0.5609763569385757,0.01757449251137103,0.022456364115893045,17
83,0.5586980041416255,0.0176422220874987,0.022335440041998115,18
46,0.5572818306213833,0.01721079988886555,0.021664496133030293,19
90,0.547744918552974,0.017805301537355617,0.021564740431849333,20
6,0.5457135826324655,0.017692093159826658,0.021252705723546296,21
54,0.5395295016943229,0.018512395740235412,0.02169082207361508,22
70,0.5339342390120769,0.01811946063169924,0.02075801578555845,23
55,0.5276640467376954,0.019300430970914648,0.021561228696556068,24
69,0.5248160516309227,0.018509292528517667,0.0204425546288729,25
72,0.522131826969855,0.019274567636449202,0.02105991941304367,26
37,0.514740103080378,0.019180362304096196,0.02034559569459912,27
104,0.5094958107338409,0.01929148631863147,0.02003842510881906,28
106,0.5048672892740202,0.019183951917317556,0.019561118852071565,29
56,0.5022461867898527,0.019622413916919573,0.01979951193507819,30
20,0.4983529136098538,0.019482355695929498,0.01935442064443476,31
10,0.4977337226720904,0.020664092942050568,0.02047761589809879,32
33,0.4968395861134297,0.01995691348435413,0.01970620971367453,33
63,0.49439611120357835,0.020677861614526002,0.02021949315809881,34
89,0.4901335988840701,0.020023876684502805,0.01924891446368253,35
65,0.4867493329618367,0.01996169923332526,0.018930991054870682,36
36,0.4782066078281686,0.020285795796072155,0.018591269533631855,37
108,0.4731867534883766,0.020518533114239526,0.0184298670068778,38
78,0.4716033194169509,0.020575338571402903,0.018363851108402513,39
0,0.46887906459200973,0.021038009776270263,0.018572573000154337,40
41,0.4673662309866955,0.0207759051583203,0.018230080505726744,41
35,0.46698953341706256,0.02130488997996861,0.018665976101801905,42
38,0.4632772999077567,0.022663276367511843,0.019562022401511416,43
13,0.4615970829358038,0.02274578101286079,0.01950098305908927,44
79,0.4612201770601315,0.02108417720827514,0.01804902026973858,45
97,0.4485606334304876,0.0219240248919125,0.01783379114559892,46
24,0.44846667592584705,0.021520877695737812,0.01749920822901468,47
17,0.4436673317680406,0.02175803225975164,0.017351718977577753,48
76,0.4405796488840389,0.021889874237221746,0.01723968941478819,49
16,0.4389989351659156,0.02194939045268326,0.01717600846108667,50
86,0.4387425553361193,0.022909817979938702,0.017908915379863173,51
112,0.43857345381202983,0.023021667447411763,0.01798399500963907,52
12,0.43463279921971204,0.02303437468923485,0.01770795110795343,53
27,0.43382496497296696,0.022194286046303018,0.017006110780171876,54
9,0.42392624972074716,0.023968381561312403,0.01763806474819864,55
23,0.41783098210047587,0.02292976964903359,0.016457021719158065,56
80,0.41774234630460577,0.02290954956009288,0.01643651899683144,57
85,0.4087195057440811,0.023303160916261983,0.01610818639291523,58
114,0.4078288417087748,0.023525948117035858,0.016202342914433086,59
21,0.40491616267238173,0.023443020925051766,0.015951463439250357,60
19,0.40298851655821766,0.023543141099806257,0.015891847594346843,61
50,0.40042718279701256,0.023666112599382116,0.01580551106391994,62
44,0.3986892995193987,0.02380682421500954,0.01578472836501571,63
91,0.39842975848658857,0.023767523796309694,0.01574161770729279,64
92,0.3981620158438682,0.023769574890639977,0.01572539803628242,65
7,0.39409654541424527,0.024229360488804596,0.01575945341450905,66
98,0.3894775877023921,0.024228102206726717,0.01545611203128619,67
28,0.3872575077221439,0.024270387300956514,0.015339053217411828,68
45,0.3832184972863999,0.024866377836394327,0.015449970379289638,69
29,0.38189263640243476,0.024570083167787093,0.015180427204362558,70
67,0.3733883286086146,0.024701575675567352,0.01471929183032786,71
74,0.3681365733103681,0.025198017013556524,0.01468088078176351,72
71,0.3679659847236022,0.025260243086446574,0.014706344907080796,73
93,0.35501716219229645,0.025359092879710093,0.01395837635079787,74
11,0.35490432780342024,0.02859156939497985,0.015729871016524188,75
87,0.35470559724132944,0.02557479286788884,0.014057958878531299,76
75,0.3498145431480863,0.026322419123983573,0.014162059337642136,77
22,0.34051887280987003,0.026329820455468902,0.01359523481889978,78
32,0.33974578373697756,0.02652811803890346,0.01365052434682812,79
99,0.32670766208894547,0.026271229874905825,0.012747823804532292,80
110,0.3249039085243297,0.027594621771998288,0.013280480484452514,81
30,0.32386381988967256,0.027803999301061113,0.013317893180013097,82
61,0.323406864826889,0.027323094266930536,0.013060251124151113,83
14,0.3210270627059157,0.027360042036792712,0.012936176757774982,84
2,0.3186422261839743,0.027459270948148665,0.012841540172504929,85
113,0.3156637180100467,0.027403362211210074,0.012640345732383046,86
1,0.30619675494365894,0.027144302819242298,0.01197961741701721,87
5,0.3057454930934012,0.028527131714593233,0.012563176566878415,88
34,0.30199350874408437,0.028776066953640586,0.012450006606025193,89
53,0.30137302752780487,0.029747440531340173,0.01283242211850062,90
109,0.2981902110378878,0.027475435994830162,0.011673969480780047,91
