node,degree,betweenness,closeness,eigenvector,pagerank,kshell,hindex
0,0.06557377049180328,0.026797173682419594,0.30198019801980197,0.08367977204319274,0.01626687574107022,3,3
1,0.06557377049180328,0.0425290571602047,0.291866028708134,0.07101363617659881,0.016368767152549212,3,4
2,0.0819672131147541,0.09858697465254843,0.3630952380952381,0.14924015395597504,0.01928622192291278,3,4
3,0.06557377049180328,0.04294301327088212,0.30198019801980197,0.078208381399774,0.016194202272868368,3,4
4,0.06557377049180328,0.04425318761384334,0.31443298969072164,0.08552651699734566,0.01624368001131483,3,3
5,0.06557377049180328,0.026983259606210418,0.28773584905660377,0.06984590402462235,0.016539020499435085,3,3
6,0.04918032786885246,0.02807379134223397,0.305,0.07974610415017175,0.012630097646700245,3,3
7,0.04918032786885246,0.010096658426576456,0.25630252100840334,0.05711901647841533,0.012876413420486812,3,3
8,0.06557377049180328,0.07423979102257788,0.34269662921348315,0.13405827781512658,0.015844168024621505,3,3
9,0.04918032786885246,0.0031134530314858183,0.23282442748091603,0.06577438680291722,0.012748256581197406,3,3
10,0.0819672131147541,0.0655048397261512,0.3160621761658031,0.12255845311033063,0.019553506080648375,3,3
11,0.06557377049180328,0.012094663457368376,0.2785388127853881,0.09889126216357606,0.015972742771930816,3,3
12,0.0819672131147541,0.04105722525804491,0.291866028708134,0.12706358073761106,0.019334833227986216,3,4
13,0.0819672131147541,0.0641122929135224,0.3065326633165829,0.110204124583878,0.01958841985081345,3,4
14,0.06557377049180328,0.07305789383658237,0.3407821229050279,0.11300765656930409,0.015996761128564976,3,3
15,0.04918032786885246,0.03829949194703292,0.29901960784313725,0.0707935064708311,0.012670037997318487,3,3
16,0.04918032786885246,0.03309013580529973,0.3160621761658031,0.07866549033058758,0.01262199755865116,3,3
17,0.06557377049180328,0.0506079849112636,0.2961165048543689,0.07193823407327224,0.016751610052883992,3,3
18,0.06557377049180328,0.037861662093219464,0.3034825870646766,0.08624692569339854,0.016351728820741415,3,3
19,0.04918032786885246,0.018299328176377357,0.26991150442477874,0.06440485085384715,0.013123436903848242,3,3
20,0.06557377049180328,0.017152167807905513,0.28773584905660377,0.13425797926080713,0.016030222275182616,3,3
21,0.04918032786885246,0.018174603174603173,0.273542600896861,0.07099434146045076,0.013189911097934093,3,3
22,0.06557377049180328,0.02462217768570227,0.3112244897959184,0.1526723468588092,0.01575330987256239,3,4
23,0.0819672131147541,0.07828081109843404,0.3465909090909091,0.16207211411444225,0.01989277424432624,3,3
24,0.0819672131147541,0.058924938146249606,0.324468085106383,0.14878633354587067,0.019436975900467793,3,4
25,0.04918032786885246,0.014407383751646049,0.2961165048543689,0.09020981369929036,0.012634985586664389,3,3
26,0.04918032786885246,0.01942400040760697,0.29901960784313725,0.1001547492867745,0.012641831662983688,3,3
27,0.09836065573770492,0.07166724896233091,0.32972972972972975,0.1393067030042935,0.0235015606474214,3,3
28,0.04918032786885246,0.014882111664898553,0.2961165048543689,0.09665516944400336,0.012341575540573746,3,3
29,0.0819672131147541,0.052815793041202874,0.32105263157894737,0.1541165418152045,0.019228115341729926,3,3
30,0.04918032786885246,0.0012620348685922454,0.26180257510729615,0.1006911865712574,0.012288703134258148,3,3
31,0.0819672131147541,0.0403659792696678,0.2961165048543689,0.14941913459245845,0.01914546871544434,3,4
32,0.06557377049180328,0.02071087041373927,0.30049261083743845,0.12981586315871818,0.01574517691911136,3,3
33,0.06557377049180328,0.034669962702749586,0.3096446700507614,0.1313777556719473,0.015733795851838973,3,4
34,0.06557377049180328,0.058817730539042025,0.33516483516483514,0.1486402561629889,0.01588706934125881,3,3
35,0.04918032786885246,0.01865108934781066,0.2890995260663507,0.11603730298506232,0.012795112844529558,3,3
36,0.06557377049180328,0.01670918789771249,0.28773584905660377,0.1297113059889803,0.016414270755462586,3,3
37,0.04918032786885246,0.010046588202325905,0.2975609756097561,0.12017121575675181,0.012533034944440039,3,3
38,0.09836065573770492,0.07131769490376047,0.3388888888888889,0.22541867318297665,0.022894036642430674,3,3
39,0.04918032786885246,0.005428234485611534,0.305,0.16860543553066543,0.012126138537281811,3,3
40,0.11475409836065574,0.11158553422897685,0.3630952380952381,0.29870551869389195,0.02594183928513984,3,4
41,0.0819672131147541,0.0454331278921443,0.3177083333333333,0.20153394931846186,0.019489547595921725,3,3
42,0.0819672131147541,0.036882325704047016,0.3177083333333333,0.2119664665922005,0.019064142966932627,3,4
43,0.04918032786885246,0.03163447360168671,0.2946859903381642,0.08794617941044187,0.012924507272448715,3,3
44,0.03278688524590164,0.0035200364298724955,0.26991150442477874,0.062062614634723054,0.00943307729137489,2,2
45,0.06557377049180328,0.025619274471733483,0.2863849765258216,0.1050375432467656,0.017089069587151017,3,3
