node,degree,betweenness,closeness,eigenvector,pagerank,kshell,hindex
0,0.23232323232323235,0.12757345470749643,0.553072625698324,0.3048614798391552,0.035224038441313305,3,8
1,0.12121212121212122,0.03986206666187406,0.46261682242990654,0.14125303390225086,0.01934804978974765,3,5
2,0.030303030303030304,0.0001769822036397566,0.4230769230769231,0.09275480405152697,0.0054399255051602235,3,3
3,0.19191919191919193,0.10868242925835107,0.5025380710659898,0.18067883387721226,0.030161040475504768,3,6
4,0.30303030303030304,0.19010729893421358,0.5722543352601156,0.33060775714795454,0.04619940931995821,3,8
5,0.2828282828282829,0.15304793157421523,0.55,0.3350602500761958,0.04294581924836409,3,7
6,0.26262626262626265,0.15768818402405244,0.5380434782608695,0.268867732415879,0.0406580878756356,3,7
7,0.23232323232323235,0.10696580726627475,0.5294117647058824,0.28038887820078806,0.035254813376016374,3,7
8,0.13131313131313133,0.0455461267207724,0.46261682242990654,0.14319943266081714,0.0207508984363871,3,5
9,0.06060606060606061,0.016425814131306993,0.4342105263157895,0.11146942225622655,0.010145336994997823,3,4
10,0.15151515151515152,0.059171042772631764,0.4583333333333333,0.16518882446363095,0.024135743510811287,3,5
11,0.04040404040404041,0.008929603476091095,0.4342105263157895,0.09842842286881565,0.007152510991605801,3,3
12,0.15151515151515152,0.06098758480961521,0.47596153846153844,0.14818932100259435,0.024260998740301763,3,5
13,0.07070707070707072,0.021256533319995066,0.43231441048034935,0.09212133174536138,0.012068722703658542,3,3
14,0.11111111111111112,0.03545569548252016,0.43805309734513276,0.11027250726863802,0.01785218151425621,3,5
15,0.04040404040404041,0.010152917766516565,0.4177215189873418,0.08006239454278771,0.007242236192147339,3,3
16,0.09090909090909091,0.026720763256497283,0.4439461883408072,0.11461874404941814,0.014724586652027392,3,4
17,0.030303030303030304,0.0013016679640090588,0.39759036144578314,0.06261880007930401,0.005550663843896474,3,3
18,0.05050505050505051,0.00881864250136372,0.4267241379310345,0.09473121150173705,0.008691105520298727,3,3
19,0.07070707070707072,0.015431272834797278,0.4194915254237288,0.08573890992780478,0.011886530282406962,3,4
20,0.05050505050505051,0.01038777825098637,0.4248927038626609,0.10710884516370646,0.008597129088385645,3,4
21,0.04040404040404041,0.0013016193974941111,0.4125,0.1010172708828509,0.006921096091055932,3,4
22,0.11111111111111112,0.027573344937241014,0.4177215189873418,0.09232130724296611,0.017861026477766037,3,5
23,0.05050505050505051,0.0053006018342040715,0.38823529411764707,0.0726590919626784,0.00878953183082127,3,4
24,0.04040404040404041,0.002643550661872706,0.41596638655462187,0.08547504953585483,0.006994780143452293,3,4
25,0.11111111111111112,0.0389123766412277,0.45,0.1344096047158607,0.018068308669714303,3,5
26,0.07070707070707072,0.01582258229123462,0.396,0.06768829004451297,0.012172277483336475,3,4
27,0.06060606060606061,0.007461842246531032,0.38976377952755903,0.058613334316038115,0.010280597853644395,3,4
28,0.030303030303030304,0.0012654328121424045,0.38372093023255816,0.04627603182659209,0.005697690983784692,3,3
29,0.06060606060606061,0.016143674908735955,0.4230769230769231,0.07730847591847693,0.010437904128889041,3,4
30,0.05050505050505051,0.0071461672630666875,0.4125,0.08290011526506945,0.008673570717319008,3,4
31,0.05050505050505051,0.004841635165772726,0.4008097165991903,0.07198037854397409,0.00869577653823747,3,4
32,0.030303030303030304,0.0010402044415649854,0.35106382978723405,0.034301095662856024,0.0057246668135658,3,3
33,0.04040404040404041,0.002930149177990006,0.4024390243902439,0.07777267833967015,0.007166932836383611,3,3
34,0.09090909090909091,0.02197935210366936,0.42857142857142855,0.0925774461932878,0.015082979802083134,3,4
35,0.030303030303030304,0.0015574491793448274,0.3613138686131387,0.03363213878164611,0.005746643849293387,3,3
36,0.04040404040404041,0.004457226615271651,0.375,0.04198900840827622,0.007343212251196664,3,4
37,0.04040404040404041,0.0017818058577247628,0.3852140077821012,0.05564528948370164,0.007265129377868495,3,4
38,0.030303030303030304,0.0017446901800643292,0.4074074074074074,0.07428691178219606,0.0055688578647393756,3,3
39,0.05050505050505051,0.004319914396228734,0.3852140077821012,0.06424363657467809,0.008791046012515794,3,4
40,0.030303030303030304,0.0018312129351839908,0.38976377952755903,0.05401563562642354,0.005621262057203475,3,3
41,0.05050505050505051,0.005094832836190903,0.39759036144578314,0.07840934520881752,0.008738337179179418,3,4
42,0.04040404040404041,0.002338307615794786,0.3378839590443686,0.02660266698120953,0.007625735286572065,3,4
43,0.04040404040404041,0.005346417696597004,0.4057377049180328,0.07626526827777752,0.007163957641609856,3,3
44,0.04040404040404041,0.0034672046251715094,0.4177215189873418,0.08706025438248693,0.007016038790962155,3,4
45,0.05050505050505051,0.011721222445401712,0.4008097165991903,0.05662728109122725,0.00899690367031296,3,3
46,0.05050505050505051,0.00905151883725131,0.41422594142259417,0.0715934028451849,0.00882513159069665,3,3
47,0.030303030303030304,0.001049577410684813,0.375,0.0434737797261407,0.005641341749023421,3,3
48,0.04040404040404041,0.0020965973273205517,0.3626373626373626,0.044587859488903335,0.007259760446514756,3,3
49,0.05050505050505051,0.007406148212692211,0.3944223107569721,0.07462871851882687,0.008915055411196917,3,3
50,0.030303030303030304,0.0014775832330126777,0.376425855513308,0.039540071758080254,0.005753493676989086,3,3
51,0.05050505050505051,0.008780517893301762,0.39919354838709675,0.06374830737229605,0.008922891909297365,3,3
52,0.030303030303030304,0.0008491572788969545,0.38372093023255816,0.05219866161061614,0.005676985582219187,3,3
53,0.04040404040404041,0.004104025573647905,0.38823529411764707,0.06316001356677632,0.007224726154519059,3,3
54,0.04040404040404041,0.002707093429589324,0.3707865168539326,0.05269486652216791,0.007344189311201814,3,4
55,0.030303030303030304,0.0015991704303392612,0.3944223107569721,0.05708574025549426,0.005706540509426335,3,3
56,0.05050505050505051,0.009169422764597677,0.42127659574468085,0.10594887598010178,0.008674271925201656,3,3
57,0.030303030303030304,0.0014098832750213156,0.37218045112781956,0.046462499964766465,0.005761214926171345,3,3
58,0.04040404040404041,0.003578504616561745,0.4125,0.08258695830451179,0.007084768094676045,3,3
59,0.030303030303030304,0.0012475894201311641,0.34256055363321797,0.028581363172941264,0.005867240955114498,3,3
60,0.030303030303030304,0.0012082315483111538,0.34375,0.03838278591476899,0.005779166715125596,3,3
61,0.04040404040404041,0.0026527012921570745,0.35106382978723405,0.038943311351728516,0.007419128855413309,3,3
62,0.030303030303030304,0.0032062698641399075,0.396,0.06917186231193789,0.005687409275305105,3,3
63,0.030303030303030304,0.00160750329944802,0.35231316725978645,0.03436791386340072,0.005771009611313236,3,3
64,0.04040404040404041,0.005373416014873553,0.41422594142259417,0.06912958985266805,0.007228806588398222,3,3
65,0.030303030303030304,0.0016096442209614747,0.3626373626373626,0.040359866832480364,0.005730837351368359,3,3
66,0.030303030303030304,0.0012616613332874253,0.38671875,0.05627617176479456,0.005587369420265599,3,3
67,0.04040404040404041,0.0024701605079210666,0.39759036144578314,0.07807481080218806,0.007204854531447243,3,3
68,0.030303030303030304,0.0013042587408697486,0.3944223107569721,0.05593777797316941,0.0055567081558114614,3,3
69,0.05050505050505051,0.006072871298961735,0.39919354838709675,0.06904616158473804,0.008868083279221476,3,4
70,0.030303030303030304,0.000966978347930729,0.34494773519163763,0.033284362978700355,0.0058242635220417975,3,3
71,0.04040404040404041,0.002895337997204831,0.38976377952755903,0.06273798966504755,0.007202946632782962,3,3
72,0.030303030303030304,0.0012461660513608558,0.40408163265306124,0.0756182742207591,0.005612913653553643,3,3
