node,degree,betweenness,closeness,eigenvector,pagerank,kshell,hindex
0,0.0501002004008016,0.037854873357896245,0.391987431264729,0.11704075394117275,0.007687472212981103,3,7
1,0.06012024048096192,0.0493275163535568,0.412056151940545,0.14930819198749504,0.00874712013325778,3,10
2,0.1442885771543086,0.17360415295221854,0.4594843462246777,0.3088901584026624,0.020970504467812595,3,13
3,0.1623246492985972,0.22947013920130535,0.49357072205736896,0.42805011958151895,0.023411508093158083,3,15
4,0.11022044088176351,0.12179002518959657,0.4451382694023194,0.24666631299148387,0.01589192237084802,3,12
5,0.052104208416833664,0.03342494525859505,0.4014481094127112,0.1392047126986583,0.0076375209206518795,3,9
6,0.07414829659318636,0.07335671324201525,0.4327840416305291,0.19538245745385358,0.010620575330587571,3,13
7,0.026052104208416832,0.012833111381146024,0.37717309145880573,0.08136585017594979,0.003928692006517685,3,6
8,0.044088176352705406,0.03317091200660005,0.40241935483870966,0.12522686945394904,0.0066325378512577275,3,8
9,0.018036072144288574,0.007021241377304208,0.347009735744089,0.04874698058095676,0.002828138639129024,3,6
10,0.0501002004008016,0.03969380931073192,0.4056910569105691,0.1307707355394634,0.007419258464559618,3,9
11,0.06212424849699398,0.05156472589743869,0.3998397435897436,0.11874609577245407,0.009334831642900615,3,8
12,0.03006012024048096,0.017825457001197538,0.3723880597014925,0.07111438750001392,0.004504719110410272,3,7
13,0.04809619238476953,0.03663342827472386,0.38953942232630756,0.10719355239244441,0.007283385257715022,3,7
14,0.04208416833667334,0.028287910070186738,0.3904538341158059,0.1152311276595139,0.006314461095045498,3,7
15,0.06412825651302605,0.049912568589257564,0.39824421388667197,0.11580851631681269,0.009598560964778801,3,8
16,0.03006012024048096,0.01788284784492719,0.3777441332323997,0.08297434998401632,0.00454952207243662,3,8
17,0.028056112224448895,0.014717548647289679,0.3690828402366864,0.07798843085511124,0.0043451975413083006,3,6
18,0.014028056112224447,0.004653260717865195,0.3690828402366864,0.07348211470999196,0.0021910483753449297,3,6
19,0.04809619238476953,0.036862318856490744,0.3817903596021423,0.077433553985089,0.007201841052219228,3,9
20,0.07014028056112225,0.059909779390056817,0.4076797385620915,0.14710203554205573,0.010409924433019148,3,8
21,0.012024048096192383,0.0032655980591141825,0.34895104895104895,0.04803190589943668,0.0019499458686568875,3,5
22,0.022044088176352703,0.008419503504935217,0.375187969924812,0.08616144389987773,0.0033798362058513596,3,5
23,0.024048096192384766,0.016552301182391583,0.3650329188002926,0.055069971073669455,0.003648298139717855,3,7
24,0.014028056112224447,0.0046368302343551705,0.3282894736842105,0.03170878194343335,0.002302954615194804,3,4
25,0.03206412825651302,0.01937288321048854,0.3865220759101472,0.10168825945386675,0.004806471379250699,3,7
26,0.014028056112224447,0.004287933790931546,0.3446132596685083,0.04430474905348211,0.002265438347501153,3,5
27,0.018036072144288574,0.0074757660690976694,0.31925783749200254,0.027147118070046192,0.0029927997512077783,3,4
28,0.02004008016032064,0.011681569943886944,0.37350299401197606,0.07910786076462922,0.0031464720151216726,3,5
29,0.02004008016032064,0.005401801308098727,0.36028880866425994,0.07078323689073525,0.003046391348075834,3,6
30,0.03006012024048096,0.013016986235754723,0.35642857142857143,0.06132253982320495,0.004514584488799771,3,7
31,0.024048096192384766,0.012202902825360584,0.35415188076650106,0.04390141296301813,0.003743918187096414,3,6
32,0.022044088176352703,0.00970782301823563,0.35873472322070454,0.07316306935030258,0.0034666742701510806,3,5
33,0.03607214428857715,0.019275202876691898,0.3658357771260997,0.0721909876550122,0.005482349007023304,3,6
34,0.01002004008016032,0.002088563953313465,0.3666421748714181,0.06971592480174145,0.0016162187904324356,3,5
35,0.022044088176352703,0.005416322589369736,0.3122653316645807,0.030459226780701468,0.0035071009781932334,3,5
